,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_probability,state
125,125,0.8471409859653617,2023-01-15 19:55:10.819416,2023-01-15 19:57:41.911612,0 days 00:02:31.092196,4.374154116126469,0.005989517000854465,RBF,True,COMPLETE
126,126,0.8512207066186441,2023-01-15 19:55:29.845883,2023-01-15 19:58:00.907536,0 days 00:02:31.061653,13.92776654874963,0.028916249751327037,RBF,True,COMPLETE
127,127,0.8543032592555397,2023-01-15 19:55:48.710858,2023-01-15 19:58:19.858002,0 days 00:02:31.147144,6.039672447400918,0.0016127116179504338,RBF,True,COMPLETE
128,128,0.851338141867032,2023-01-15 19:56:07.280373,2023-01-15 19:58:39.097969,0 days 00:02:31.817596,4.5211706725306255,0.010427224424748676,RBF,True,COMPLETE
129,129,0.8553572263125101,2023-01-15 19:56:25.823921,2023-01-15 19:58:58.237493,0 days 00:02:32.413572,4.912950848694872,0.030175407344937996,RBF,True,COMPLETE
130,130,0.8540465074228489,2023-01-15 19:56:45.195300,2023-01-15 19:59:17.166980,0 days 00:02:31.971680,3.933996915041594,0.03041083764707631,RBF,True,COMPLETE
131,131,0.8553544758474777,2023-01-15 19:57:03.862877,2023-01-15 19:59:36.063272,0 days 00:02:32.200395,4.022615235060697,0.02922185446901951,RBF,True,COMPLETE
132,132,0.8585624314958824,2023-01-15 19:57:22.951610,2023-01-15 19:59:54.916935,0 days 00:02:31.965325,4.022547327920499,0.026288009423280308,RBF,True,COMPLETE
133,133,0.8603191673886753,2023-01-15 19:57:42.117647,2023-01-15 20:00:13.362703,0 days 00:02:31.245056,13.94526365022261,0.02705276689200075,RBF,True,COMPLETE
134,134,0.8535624046699068,2023-01-15 19:58:01.095827,2023-01-15 20:00:32.614816,0 days 00:02:31.518989,6.207097909894262,0.010644333432885981,RBF,True,COMPLETE
135,135,0.8569016646016074,2023-01-15 19:58:20.194769,2023-01-15 20:00:52.151322,0 days 00:02:31.956553,6.633625845534969,0.010344999268458895,RBF,True,COMPLETE
136,136,0.8593324811301564,2023-01-15 19:58:39.540943,2023-01-15 20:01:11.202593,0 days 00:02:31.661650,7.7441134526038375,0.03165194544286942,RBF,True,COMPLETE
137,137,0.8180218907269774,2023-01-15 19:58:58.449656,2023-01-15 20:01:31.060075,0 days 00:02:32.610419,6.595873211599913,0.02967503242684174,linear,True,COMPLETE
138,138,0.852185988274375,2023-01-15 19:59:17.360741,2023-01-15 20:01:49.050142,0 days 00:02:31.689401,6.089803433463284,0.0015874349781825378,RBF,True,COMPLETE
139,139,0.8505298643108603,2023-01-15 19:59:36.228194,2023-01-15 20:02:08.028916,0 days 00:02:31.800722,1.1275671109805039,0.02652258148985029,RBF,True,COMPLETE
140,140,0.0,2023-01-15 19:59:55.084902,2023-01-15 20:02:27.142404,0 days 00:02:32.057502,7.191743932717313,0.02298294044206017,histogram_intersection,True,COMPLETE
141,141,0.0,2023-01-15 20:00:13.531975,2023-01-15 20:02:46.555070,0 days 00:02:33.023095,23.406300696537023,0.11738486866553643,histogram_intersection,True,COMPLETE
142,142,0.0,2023-01-15 20:00:32.959782,2023-01-15 20:03:05.744101,0 days 00:02:32.784319,8.146670971468833,0.03225135566949879,histogram_intersection,True,COMPLETE
